"target","Owen","best,","the","All","Austie!","Christmas","Merry"
1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
